id,mark,model,year,mileage,body_type,color,engine_vol,fuel,gearbox,cleared,price
12711,Honda,Civic,2000,200000,Hatchback,Gray,1400,Petrol,Mechanical,0.0,1153
12712,Volkswagen,Transporter,2009,250000,Other,Green,1900,Diesel,Mechanical,1.0,12000
12713,Skoda,Superb,2007,133000,Sedan,Asphalt,18,Petrol,Mechanical,1.0,8250
12714,Mercedes-Benz,Vito,2011,211000,Minivan,Beige,2200,Diesel,Mechanical,1.0,39316
12715,Porsche,Cayenne S,2008,160000,SUV / Crossover,Black,4800,Petrol,Automatic,1.0,16900
12716,Volkswagen,Passat Sedan,2014,12000,Sedan,Gray,1800,Petrol,Automatic,1.0,11150
12717,Renault,Kangoo Passenger,2005,230000,Minivan,White,1500,Diesel,Mechanical,1.0,4900
12718,Mitsubishi,Lancer,2005,167000,Sedan,Silver,1300,Petrol,Automatic,1.0,5150
12719,Toyota,Camry,2005,201,Sedan,Gray,3000,Gas / petrol,Automatic,1.0,8500
12720,Hyundai,ioniq,2017,17000,Hatchback,Blue,1,Electro,Automatic,1.0,29450
12721,Volkswagen,Passat Variant,2000,280000,Universal,Gray,1900,Diesel,Mechanical,1.0,5700
12722,Mazda,6,2008,133000,Sedan,Silver,2500,Petrol,Mechanical,1.0,9599
12723,Toyota,Camry,2002,265000,Sedan,Gray,3000,Gas / petrol,Automatic,1.0,8200
12724,Moskvich/AZLK,2141,1995,200000,Hatchback,Blue,1600,Gas / petrol,Mechanical,1.0,1500
12725,Renault,Logan,2018,0,Sedan,Brown,1149,Petrol,Mechanical,1.0,11650
12726,Opel,Vivaro,2014,130000,Passenger van (up to 1.5 tons),White,2000,Diesel,Mechanical,1.0,11000
12727,Audi,A4,2000,335000,Universal,Silver,1900,Diesel,Mechanical,1.0,6200
12728,Nissan,Leaf,2015,51000,Hatchback,Asphalt,1,Electro,Automatic,1.0,13999
12729,Ford,Scorpio,1987,413000,Hatchback,Gray,2000,Gas / petrol,Mechanical,1.0,1600
12730,Opel,Vectra,2003,165000,Sedan,Blue,2200,Diesel,Mechanical,1.0,5000
12731,GAZ,31029,1996,55000,Sedan,White,2445,Petrol,Mechanical,1.0,3200
12732,Mercedes-Benz,C серия,2013,130000,Sedan,Black,1795,Petrol,Automatic,1.0,19700
12733,BMW,3 серия,2002,380000,Sedan,Asphalt,3000,Diesel,Mechanical,0.0,3650
12734,ZAZ,1103 Slavuta,2004,62000,Liftback,Beige,1200,Petrol,Mechanical,1.0,1300
12735,BMW,3 серия,2000,111,Universal,Gray,20,Diesel,Mechanical,0.0,1999
12736,VAZ,2106,1985,0,Sedan,Green,1500,Gas / petrol,Mechanical,1.0,1346
12737,BMW,5 серия,2005,292000,Sedan,Blue,2500,Diesel,Tiptronic,0.0,3200
12738,Opel,Combo,2007,150,Passenger van (up to 1.5 tons),White,1300,Diesel,Mechanical,1.0,4600
12739,Nissan,Murano,2013,110000,SUV / Crossover,White,3500,Gas / petrol,Variator,1.0,17500
12740,Volkswagen,Passat Sedan,1997,10000,Sedan,Blue,1800,Electro,Automatic,0.0,1000
12741,VAZ,2106,1977,777,Sedan,Cherry,16,Gas / petrol,Mechanical,1.0,880
12742,VAZ,2106,1986,80000,Sedan,Beige,1600,Petrol,Mechanical,1.0,1850
12743,Opel,Vectra,1997,300000,Sedan,Bronze,1600,Petrol,Mechanical,0.0,538
12744,Lexus,GS серія,2005,120,Sedan,Beige,30,Petrol,Automatic,1.0,2000
12745,Mitsubishi,Carisma,1998,250000,Sedan,White,18,Petrol,Automatic,0.0,700
12746,VAZ,2101,1970,30000,Sedan,White,1500,Petrol,Mechanical,1.0,600
12747,Volkswagen,Transporter,2006,0,Minivan,Green,19,Diesel,Mechanical,1.0,10000
12748,VAZ,2102,1978,90000,Universal,Beige,1200,Gas / petrol,Mechanical,1.0,1100
12749,Skoda,Superb,2006,0,Other,Black,1,Petrol,Mechanical,1.0,2500
12750,Ford,Sierra,1989,0,Hatchback,White,2,Petrol,Mechanical,1.0,1153
12751,BMW,Другая,1995,0,Sedan,White,2,Diesel,Automatic,1.0,0
12752,Mitsubishi,Eclipse,2006,56000,Coupe,Asphalt,38,Petrol,Tiptronic,1.0,9050
12753,Chrysler,300M,2001,1,Sedan,Blue,3500,Gas / petrol,Automatic,1.0,5700
12754,Daewoo,Leganza,1998,200000,Sedan,Cherry,2000,Gas / petrol,Mechanical,1.0,2500
12755,Volkswagen,Passat Sedan,2018,35000,Limousine,Gray,2000,Diesel,Automatic,1.0,34000
12756,Ford,Orion,1987,40000,Universal,White,13,Gas / petrol,Mechanical,1.0,900
12757,Hyundai,Pony,1993,395000,Sedan,Silver,1500,Petrol,Mechanical,1.0,2000
12758,Citroen,C4,2014,130000,Sedan,White,1600,Diesel,Mechanical,1.0,9900
12759,BMW,3 серия,2002,250000,Sedan,Gray,1800,Petrol,Mechanical,1.0,7200
12760,VAZ,2108,1987,63695,Sedan,Red,13,Petrol,Mechanical,1.0,750
12761,Renault,Trafic,1985,150000,Passenger van (up to 1.5 tons),Blue,14,Petrol,Mechanical,1.0,1999
12762,Daewoo,Nexia,1996,156000,Sedan,Black,1500,Gas / petrol,Mechanical,1.0,2300
12763,Toyota,Avensis,2015,74000,Sedan,Asphalt,20,Diesel,Mechanical,1.0,15399
12764,Opel,Vectra,1989,283,Sedan,Blue,2000,Gas / petrol,Automatic,1.0,2800
12765,VAZ,2106,1987,200000,Sedan,Blue,15,Gas / petrol,Mechanical,1.0,1300
12766,Volvo,XC90,2008,135000,Universal,Black,240,Diesel,Automatic,1.0,15500
12767,ZAZ,Таврия,1993,0,Coupe,White,1100,Petrol,Mechanical,1.0,700
12768,VAZ,2106,1993,0,Sedan,Beige,16,Petrol,Mechanical,1.0,850
12769,VAZ,2106,1991,100000,Sedan,Beige,1300,Petrol,Mechanical,1.0,653
12770,Toyota,Corolla,2006,323000,Universal,Gray,1958,Diesel,Mechanical,0.0,1000
12771,Renault,Laguna,1999,0,Universal,Green,2200,Diesel,Mechanical,0.0,450
12772,Geely,CK,2010,154000,Sedan,White,1500,Petrol,Mechanical,1.0,3400
12773,Volkswagen,Passat Variant,1992,268,Universal,Blue,2000,Gas / petrol,Mechanical,1.0,2500
12774,Volkswagen,Другая,1986,0,Other,Gray,16,Diesel,Mechanical,1.0,1700
12775,Mazda,CX-9,2011,176000,SUV / Crossover,Black,3700,Petrol,Automatic,1.0,17800
12776,Ford,Focus,2012,135,Universal,Red,16,Petrol,Mechanical,1.0,8800
12777,Volkswagen,LT,1990,400000,Minivan,White,24,Diesel,Mechanical,1.0,2500
12778,Nissan,Qashqai,2019,5,SUV / Crossover,White,1200,Petrol,Mechanical,1.0,19876
12779,Hyundai,Sonata,1993,0,Other,Blue,2,Gas / petrol,Mechanical,1.0,2050
12780,Opel,Omega,1992,0,Sedan,Blue,2,Petrol,Mechanical,1.0,1576
12781,Renault,Kangoo Passenger,2010,165500,Passenger van (up to 1.5 tons),White,1500,Diesel,Mechanical,1.0,7300
12782,Volkswagen,Golf,1999,200000,Hatchback,Blue,16,Petrol,Mechanical,0.0,1500
12783,Moskvich/AZLK,2141,1989,120000,Hatchback,Beige,15,Petrol,Mechanical,1.0,900
12784,Opel,Meriva,2007,144000,Hatchback,White,1800,Petrol,Mechanical,1.0,6800
12785,VAZ,2103,1979,0,Sedan,Blue,1500,Gas / petrol,Mechanical,1.0,961
12786,VAZ,2101,1976,65000,Sedan,Red,1300,Petrol,Mechanical,1.0,384
12787,Mercedes-Benz,E серия,2004,205000,Sedan,Asphalt,2600,Gas / petrol,Tiptronic,1.0,10200
12788,Nissan,Juke,2016,25000,SUV / Crossover,Black,1618,Petrol,Automatic,1.0,18900
12789,VAZ,2109,1992,99999,Sedan,Olive,13,Petrol,Mechanical,1.0,1350
12790,VAZ,21213,2005,143000,SUV / Crossover,White,17,Gas / petrol,Mechanical,1.0,3000
12791,VAZ,2101,1977,25000,Sedan,Green,1100,Petrol,Mechanical,1.0,840
12792,,F3,2007,131000,Sedan,Yellow,16,Gas / petrol,Mechanical,1.0,3500
12793,Mazda,CX-9,2008,120000,SUV / Crossover,Cherry,3700,Petrol,Automatic,1.0,13600
12794,BMW,5 серия,2002,335000,Sedan,Silver,2500,Diesel,Mechanical,1.0,6500
12795,Ford,Focus,2014,108,Universal,Black,1500,Diesel,Mechanical,1.0,11750
12796,Mazda,Xedos 9,1994,111111,Hatchback,Asphalt,2000,Petrol,Mechanical,1.0,0
12797,Opel,Insignia,2010,240000,Universal,White,2000,Diesel,Mechanical,1.0,10900
12798,GAZ,24,1984,0,Sedan,White,2500,Gas / petrol,Mechanical,1.0,769
12799,Renault,Logan,2013,120000,Sedan,White,1200,Gas / petrol,Mechanical,1.0,7300
12800,Mercedes-Benz,A серия,2010,152000,Hatchback,Gray,1991,Diesel,Mechanical,1.0,10200
12801,Chevrolet,Aveo,2008,95000,Hatchback,Asphalt,1500,Gas / petrol,Automatic,1.0,6500
12802,VAZ,21099,1993,0,Hatchback,Red,1500,Petrol,Mechanical,1.0,2800
12803,Seat,Cordoba,1999,418000,Sedan,Black,1900,Diesel,Mechanical,0.0,999
12804,Mazda,626,1985,0,Coupe,Gray,1800,Petrol,Mechanical,1.0,1350
12805,VAZ,2111 Богдан,2013,170,Sedan,White,1599,Petrol,Mechanical,1.0,4100
12806,Mercedes-Benz,C серия,2002,0,Sedan,Silver,2200,Diesel,Automatic,0.0,2000
12807,Skoda,Fabia,2005,0,Universal,Silver,1400,Diesel,Mechanical,1.0,5300
12808,VAZ,1118 Kalina Седан,2006,87,Sedan,Red,16,Petrol,Mechanical,1.0,4100
12809,Toyota,Camry,2002,262000,Sedan,Olive,2400,Gas / petrol,Automatic,1.0,7000
12810,VAZ,2101,1974,100000,Sedan,Green,1,Petrol,Mechanical,1.0,250
12811,Mazda,323,1987,0,Universal,Gray,1500,Petrol,Mechanical,1.0,1700
12812,Renault,Scenic II,2004,190000,Minivan,Gray,2000,Petrol,Automatic,1.0,6000
12813,Nissan,Note,2006,249000,Hatchback,Asphalt,1500,Diesel,Mechanical,1.0,5600
12814,VAZ,2121,1979,0,Universal,Yellow,1568,Petrol,Mechanical,1.0,900
12815,Opel,Omega,1991,0,Sedan,White,2,Gas / petrol,Mechanical,1.0,1000
12816,ZAZ,1103 Slavuta,2004,106000,Sedan,Green,1200,Petrol,Mechanical,1.0,1550
12817,Mazda,CX-5,2013,160000,SUV / Crossover,Blue,200,Petrol,Automatic,1.0,18000
12818,Renault,Kangoo Express,2004,290000,Passenger van (up to 1.5 tons),Red,1400,Petrol,Mechanical,1.0,3000
12819,Renault,Clio,2012,134000,Hatchback,White,1500,Diesel,Mechanical,1.0,6999
12820,Lexus,LX серія,2005,313000,SUV / Crossover,Gray,4700,Gas / petrol,Automatic,1.0,17000
12821,Volkswagen,Transporter,2003,208000,Minivan,White,25,Diesel,Mechanical,1.0,8100
12822,Audi,A6,2011,128000,Sedan,Black,1996,Diesel,Mechanical,1.0,39316
12823,Chery,Sweet (QQ),2007,43000,Hatchback,Cherry,1,Petrol,Mechanical,1.0,2600
12824,Toyota,Avensis,2004,0,Sedan,Gray,2000,Petrol,Tiptronic,1.0,6200
12825,Kia,Optima,2015,45000,Sedan,Black,24,Petrol,Automatic,1.0,12400
12826,Skoda,Octavia,2000,200,Universal,Blue,1800,Petrol,Mechanical,1.0,5300
12827,BMW,X5,2011,132000,SUV / Crossover,White,3000,Petrol,Automatic,1.0,20900
12828,Mercedes-Benz,190,1989,0,Sedan,Beige,2300,Gas / petrol,Automatic,1.0,2700
12829,Skoda,Superb,2004,0,Sedan,Black,2,Diesel,Mechanical,1.0,6153
12830,Audi,A6,1996,420000,Sedan,Blue,2500,Diesel,Mechanical,1.0,6300
12831,Mitsubishi,Space Wagon,1999,342000,Minivan,Violet,24,Petrol,Mechanical,1.0,4700
12832,Honda,Accord,2004,175000,Sedan,Silver,24,Petrol,Tiptronic,1.0,7500
12833,Volkswagen,Passat Sedan,2016,36000,Sedan,Silver,18,Petrol,Automatic,1.0,13700
12834,Ford,Galaxy,2001,172000,Minivan,Blue,1900,Diesel,Automatic,1.0,7100
12835,VAZ,21099,2009,250000,Sedan,Golden,1600,Gas / petrol,Mechanical,1.0,3000
12836,Volkswagen,Golf,2016,57000,Coupe,White,12,Petrol,Mechanical,1.0,15000
12837,VAZ,2109,1993,10000,Sedan,Red,1500,Petrol,Mechanical,1.0,1230
12838,VAZ,1119 Kalina Хэтчбек,2008,135000,Hatchback,Gray,1600,Gas / petrol,Mechanical,1.0,3300
12839,Mercedes-Benz,Vaneo,2004,260000,Minivan,Beige,17,Diesel,Tiptronic,0.0,39316
12840,VAZ,1118 Kalina Седан,2008,142,Sedan,Brown,1600,Petrol,Mechanical,1.0,3550
12841,Mercedes-Benz,E серия,2000,350000,Universal,Silver,2200,Diesel,Automatic,1.0,6800
12842,Volvo,850,1992,0,Sedan,White,2500,Gas / petrol,Mechanical,1.0,1500
12843,Mercedes-Benz,S серия,2002,400,Sedan,Black,32,Diesel,Automatic,1.0,8000
12844,VAZ,21099,1995,0,Sedan,Blue,1500,Petrol,Mechanical,1.0,1450
12845,BMW,3 серия,1995,0,Sedan,Black,25,Petrol,Mechanical,1.0,39316
12846,VAZ,2107,1989,243,Sedan,Cherry,1500,Gas / petrol,Mechanical,1.0,1100
12847,Audi,A4,2001,103000,Sedan,Silver,2000,Petrol,Variator,0.0,2700
12848,UAZ,459,1989,0,SUV / Crossover,Green,25,Gas / petrol,Mechanical,1.0,1500
12849,Audi,Q7,2014,168000,SUV / Crossover,White,3,Diesel,Automatic,1.0,42000
12850,Mercedes-Benz,E серия,1995,300000,Sedan,Blue,2996,Diesel,Mechanical,1.0,5300
12851,VAZ,21214,2008,71000,SUV / Crossover,Cherry,1700,Petrol,Mechanical,1.0,4200
12852,Renault,Clio Symbol,2008,127,Sedan,Silver,14,Petrol,Automatic,1.0,5500
12853,Renault,Clio Symbol,2008,128,Sedan,Silver,14,Petrol,Automatic,1.0,5500
12854,Kia,Cee'd,2009,200000,Universal,Beige,1600,Diesel,Mechanical,0.0,8700
12855,Toyota,Corolla,2001,226300,Sedan,Green,2000,Diesel,Mechanical,0.0,2100
12856,Subaru,Outback,2008,184,Universal,Black,2500,Petrol,Automatic,1.0,11250
12857,VAZ,2121,1988,1000,Other,Black,1500,Gas / petrol,Mechanical,1.0,2300
12858,Renault,Megane,2004,120000,Hatchback,White,16,Petrol,Mechanical,0.0,300
12859,Ford,Galaxy,1996,0,Minivan,Green,2000,Petrol,Mechanical,0.0,600
12860,Opel,Omega,1995,295000,Universal,Green,2000,Gas / petrol,Mechanical,1.0,3700
12861,Honda,Другая,2017,130000,Other,Red,2,Petrol,Automatic,1.0,20611
12862,VAZ,2104,2005,147000,Universal,Red,1500,Gas / petrol,Mechanical,1.0,1000
12863,Hyundai,Tucson,2007,109000,SUV / Crossover,Turquoise,2,Gas / petrol,Mechanical,1.0,10500
12864,Nissan,X-Trail,2010,71000,SUV / Crossover,Silver,2000,Gas / petrol,Variator,1.0,14632
12865,Geely,CK,2009,72000,Sedan,Silver,15,Gas / petrol,Mechanical,1.0,3500
12866,VAZ,2121,1990,100000,SUV / Crossover,White,1600,Gas / petrol,Mechanical,1.0,2500
12867,Toyota,Camry,2015,48000,Sedan,Black,2500,Petrol,Tiptronic,1.0,22000
12868,Hyundai,Getz,2006,190000,Hatchback,Gray,1600,Petrol,Mechanical,1.0,5000
12869,Opel,Combo,2008,300000,Minivan,White,13,Diesel,Mechanical,1.0,4100
12870,GAZ,3110,2003,270000,Sedan,Black,24,Gas / petrol,Mechanical,1.0,1346
12871,VAZ,2105,1983,134000,Sedan,Beige,1200,Petrol,Mechanical,1.0,1400
12872,Toyota,Avensis,2008,50000,Sedan,Asphalt,1800,Petrol,Mechanical,1.0,3500
12873,Audi,A6,2013,128000,Sedan,White,2000,Diesel,Automatic,1.0,24300
12874,Volkswagen,Transporter,1995,83000,Passenger van (up to 1.5 tons),Beige,24,Diesel,Mechanical,1.0,4500
12875,Audi,A6,1997,0,Sedan,Blue,2600,Petrol,Automatic,0.0,3300
12876,Ford,Mondeo,2011,45000,Sedan,Gray,1600,Gas / petrol,Mechanical,1.0,11700
12877,VAZ,2106,1988,10000000,Sedan,Beige,1450,Gas / petrol,Mechanical,1.0,500
12878,Toyota,Carina E,1993,160,Sedan,White,1600,Petrol,Mechanical,0.0,800
12879,Audi,A6,1998,0,Universal,Gray,2500,Diesel,Mechanical,0.0,0
12880,Great Wall,voleex,2013,0,Sedan,Gray,15,Petrol,Mechanical,1.0,5961
12881,Other,,1993,0,Sedan,Silver,1998,Gas / petrol,Mechanical,1.0,2900
12882,VAZ,2101,1976,200000,Sedan,Green,1300,Petrol,Mechanical,1.0,653
12883,Opel,Signum,2005,157000,Hatchback,Silver,22,Petrol,Automatic,0.0,576
12884,Fiat,Doblo,2006,0,Minivan,White,1300,Diesel,Mechanical,1.0,5000
12885,Volkswagen,Golf,2000,186000,Hatchback,Blue,16,Petrol,Mechanical,1.0,4500
12886,BMW,5 серия,1991,300000,Sedan,Black,2,Gas / petrol,Mechanical,1.0,3400
12887,Renault,Kangoo Passenger,2005,140000,Other,Silver,1461,Diesel,Mechanical,1.0,4450
12888,Chery,Другая,2008,117000,Hatchback,Orange,1,Petrol,Mechanical,1.0,2300
12889,VAZ,21099,2008,130000,Sedan,Gray,1600,Petrol,Mechanical,1.0,2900
12890,VAZ,2121,2011,97420,SUV / Crossover,Cherry,1700,Petrol,Mechanical,1.0,1800
12891,Dacia,Duster,2012,82000,SUV / Crossover,White,1500,Diesel,Mechanical,0.0,4400
12892,VAZ,2108,1992,0,Hatchback,Asphalt,1300,Petrol,Mechanical,1.0,1300
12893,Alfa Romeo,156,2001,7,Sedan,Black,1600,Petrol,Mechanical,0.0,799
12894,Volkswagen,Passat Variant,1994,240000,Universal,Cherry,18,Petrol,Mechanical,0.0,1200
12895,BMW,3 серия,2002,283000,Universal,Silver,2000,Diesel,Automatic,1.0,6899
12896,Audi,A6,1998,300000,Sedan,Gray,2500,Diesel,Automatic,0.0,1100
12897,Opel,Vivaro,2001,329000,Passenger van (up to 1.5 tons),Silver,1900,Diesel,Mechanical,1.0,5099
12898,Fiat,Doblo,2012,112,Universal,White,1600,Diesel,Tiptronic,1.0,8900
12899,Opel,Vectra,1990,0,Sedan,Blue,1800,Petrol,Mechanical,1.0,2500
12900,Chevrolet,Niva,2004,153000,SUV / Crossover,Green,1700,Petrol,Mechanical,1.0,5000
12901,Fiat,Scudo,2000,242525,Other,Blue,1868,Diesel,Mechanical,1.0,5199
12902,Volkswagen,Golf,1988,300000,Hatchback,Green,1300,Petrol,Mechanical,1.0,2250
12903,Mercedes-Benz,Vito,1999,450,Passenger van (up to 1.5 tons),White,2300,Diesel,Mechanical,1.0,4200
12904,Mitsubishi,Outlander,2008,188500,SUV / Crossover,White,30,Gas / petrol,Tiptronic,1.0,12600
12905,Peugeot,307,2001,230000,Coupe,Black,1600,Petrol,Automatic,1.0,4500
12906,Ford,Escape,2018,0,SUV / Crossover,Blue,2500,Petrol,Automatic,1.0,18900
12907,Daewoo,Lanos (Sens),2004,0,Sedan,Silver,16,Gas / petrol,Mechanical,1.0,3500
12908,Opel,Combo,2004,244000,Passenger van (up to 1.5 tons),Black,1700,Diesel,Mechanical,1.0,5600
12909,VAZ,2103,1982,10000,Sedan,Cherry,1300,Gas / petrol,Mechanical,1.0,600
12910,Volkswagen,Passat Sedan,2003,0,Sedan,Black,1900,Diesel,Mechanical,0.0,2750
12911,Ford,Mustang,2016,38000,Cabriolet,Yellow,2300,Petrol,Automatic,1.0,35000
12912,Land Rover,Freelander,2000,280000,SUV / Crossover,Olive,2,Diesel,Mechanical,0.0,1400
12913,Nissan,Note,2008,109000,Minivan,Black,1400,Gas / petrol,Mechanical,1.0,7000
12914,BMW,5 серия,2000,230000,Sedan,Silver,3498,Gas / petrol,Automatic,1.0,9200
12915,Honda,Civic Hybrid,2006,220000,Sedan,Gray,1390,Hybrid,Automatic,1.0,7800
12916,Daewoo,Lanos (Sens),2007,28000,Sedan,Silver,1500,Petrol,Mechanical,1.0,6500
12917,Volkswagen,Passat Sedan,1993,320000,Sedan,Green,19,Diesel,Mechanical,1.0,2800
12918,Nissan,Bluebird,1986,0,Sedan,Gray,2,Diesel,Mechanical,1.0,1600
12919,Volkswagen,Passat Sedan,1995,230000,Sedan,Cherry,20,Petrol,Mechanical,1.0,3900
12920,Mercedes-Benz,W123,1976,20000,Sedan,Brown,24,Diesel,Mechanical,1.0,1150
12921,BMW,5 серия,1999,0,Sedan,Gray,25,Diesel,Automatic,0.0,1500
12922,ZAZ,1103 Slavuta,2003,315,Hatchback,Red,1198,Petrol,Mechanical,1.0,850
12923,VAZ,2121,1986,10000,SUV / Crossover,White,2000,Petrol,Mechanical,1.0,2300
12924,Peugeot,207,2007,105000,Hatchback,Blue,1600,Petrol,Automatic,1.0,5000
12925,VAZ,21121,2008,200000,Hatchback,Gray,1600,Gas / petrol,Mechanical,1.0,3846
12926,Volkswagen,Transporter,2002,420000,Passenger van (up to 1.5 tons),White,2500,Diesel,Mechanical,1.0,4900
12927,Great Wall,Safe,2007,83000,SUV / Crossover,Black,2237,Petrol,Mechanical,1.0,5600
12928,Volkswagen,Passat Sedan,2014,61000,Sedan,Asphalt,1798,Petrol,Automatic,1.0,12000
12929,Ford,Taurus,1995,243000,Sedan,Gray,3,Gas / petrol,Automatic,1.0,2500
12930,Mitsubishi,Pajero,2007,187000,SUV / Crossover,Black,3000,Gas / petrol,Automatic,1.0,10500
12931,Chery,Amulet,2007,0,Liftback,Black,1600,Gas / petrol,Mechanical,1.0,2500
12932,Toyota,Другая,2014,120000,Minivan,White,2,Diesel,Mechanical,1.0,12500
12933,GAZ,24-10 Волга,1987,0,Sedan,Blue,2400,Petrol,Mechanical,1.0,700
12934,Mazda,323,2002,200000,Hatchback,Blue,1325,Gas / petrol,Mechanical,0.0,884
12935,Mercedes-Benz,Sprinter,1991,0,Other,White,2400,Diesel,Mechanical,1.0,650
12936,Fiat,Fiorino,1999,211000,Passenger van (up to 1.5 tons),White,1698,Diesel,Mechanical,1.0,1923
12937,Peugeot,Другая,1993,0,Other,White,2500,Diesel,Mechanical,1.0,650
12938,Moskvich/AZLK,2141,1991,0,Other,Blue,1700,Petrol,Mechanical,1.0,576
12939,VAZ,2172 Priora Хэтчбек,2009,177,Hatchback,Black,16,Gas / petrol,Mechanical,1.0,4500
12940,Skoda,Fabia,2006,160000,Hatchback,Black,1400,Petrol,Mechanical,1.0,5500
12941,BMW,3 серия,1986,250000,Sedan,Gray,25,Diesel,Mechanical,1.0,2500
12942,BMW,X3,2013,150000,SUV / Crossover,Black,20,Diesel,Mechanical,1.0,22200
12943,Mazda,626,1998,350000,Hatchback,Green,20,Gas / petrol,Mechanical,1.0,4700
12944,Volkswagen,Caddy,2005,207000,Universal,Olive,1900,Diesel,Mechanical,1.0,7000
12945,Toyota,Previa,2003,245000,Minivan,Silver,1995,Diesel,Mechanical,1.0,8900
12946,Chevrolet,Lacetti,2005,193,Universal,Black,18,Gas / petrol,Mechanical,1.0,4700
12947,Hyundai,Sonata,2007,260000,Sedan,Gray,2400,Petrol,Automatic,1.0,7900
12948,Volkswagen,Golf,1999,286000,Hatchback,Gray,1896,Diesel,Mechanical,1.0,5300
12949,VAZ,2105,1997,0,Sedan,Red,1500,Petrol,Mechanical,1.0,1000
12950,VAZ,2107,1988,0,Sedan,White,13,Petrol,Mechanical,1.0,923
12951,,Flyer,2007,115000,Hatchback,Green,1,Petrol,Mechanical,1.0,2576
12952,Mazda,323,2001,0,Universal,Gray,2,Diesel,Mechanical,0.0,1115
12953,Opel,Vectra,1996,266000,Sedan,Blue,1600,Gas / petrol,Mechanical,0.0,903
12954,Nissan,Leaf,2013,70000,Hatchback,Red,1,Electro,Automatic,1.0,11500
12955,Opel,Signum,2004,260,Hatchback,Silver,3000,Diesel,Mechanical,1.0,5600
12956,Opel,Vectra,2000,0,Sedan,Red,1600,Petrol,Mechanical,0.0,500
12957,Fiat,UNO,1988,150,Hatchback,Silver,1,Petrol,Mechanical,1.0,1600
12958,Volkswagen,Transporter,2012,290000,Pickup,White,2000,Diesel,Mechanical,1.0,12500
12959,Opel,Omega,1997,238,Universal,Blue,2000,Gas / petrol,Automatic,1.0,3700
12960,Renault,Kangoo Passenger,2006,0,Minivan,Yellow,1400,Diesel,Mechanical,1.0,4500
12961,Volkswagen,Golf,2016,17219,Hatchback,Black,1,Electro,Automatic,1.0,16900
12962,Volvo,Другая,2013,140000,Hatchback,Bronze,1560,Diesel,Tiptronic,1.0,18000
12963,Other,,2000,0,Hatchback,Brown,1300,Gas / petrol,Mechanical,1.0,2499
12964,Mitsubishi,Outlander,2007,218,SUV / Crossover,Gray,1997,Gas / petrol,Mechanical,1.0,6900
12965,Kia,Picanto,2008,0,Hatchback,Orange,1100,Gas / petrol,Automatic,1.0,6800
12966,Volkswagen,Passat Sedan,1998,415000,Limousine,Blue,1900,Diesel,Mechanical,0.0,1000
12967,VAZ,2101,1972,5000,Sedan,Beige,1200,Petrol,Mechanical,1.0,384
12968,Chevrolet,Lacetti,2006,170,Sedan,Beige,1800,Gas / petrol,Mechanical,1.0,5800
12969,Volkswagen,Passat Sedan,2016,67000,Sedan,Asphalt,1800,Petrol,Automatic,1.0,16999
12970,Mitsubishi,Другая,1999,176000,Sedan,Blue,24,Petrol,Automatic,0.0,2046
12971,Other,,1939,0,Sedan,Black,2500,Gas / petrol,Mechanical,1.0,5192
12972,VAZ,1118 Kalina Седан,2006,326000,Sedan,Red,1600,Gas / petrol,Mechanical,1.0,3300
12973,Chery,Amulet,2007,0,Sedan,Silver,1600,Petrol,Mechanical,1.0,1100
12974,Renault,Kangoo Express,2012,274000,Other,White,1500,Diesel,Mechanical,1.0,9500
12975,ZAZ,1103 Slavuta,2003,0,Sedan,Blue,1200,Petrol,Mechanical,1.0,1300
12976,Daewoo,Lanos (Sens),2011,103000,Sedan,Bronze,1500,Gas / petrol,Mechanical,1.0,4500
12977,Opel,Kadett,1987,0,Hatchback,White,16,Gas / petrol,Mechanical,1.0,1799
12978,Mazda,626,1992,0,Sedan,Red,2,Gas / petrol,Mechanical,1.0,2300
12979,VAZ,Другая,2001,50,Hatchback,White,12,Petrol,Mechanical,1.0,1550
12980,VAZ,2108,1995,69000,Hatchback,Black,1300,Petrol,Mechanical,1.0,1100
12981,Volkswagen,Transporter,2006,33000,Passenger van (up to 1.5 tons),Blue,25,Diesel,Mechanical,1.0,9350
12982,Volkswagen,Golf,1989,22000,Hatchback,White,1600,Diesel,Mechanical,1.0,1550
12983,ZAZ,1102,1989,220000,Hatchback,White,1100,Petrol,Mechanical,1.0,900
12984,Volkswagen,Caddy,2007,302300,Minivan,Blue,1896,Diesel,Mechanical,1.0,7000
12985,VAZ,2101,1981,40000,Sedan,Green,11,Gas / petrol,Mechanical,1.0,884
12986,Volkswagen,Golf,2017,7966,Hatchback,White,1,Electro,Automatic,1.0,30900
12987,Volkswagen,Caddy,1999,21000,Pickup,White,19,Diesel,Mechanical,1.0,3000
12988,VAZ,Другая,1980,0,Other,White,15,Other,Mechanical,1.0,300
12989,Volkswagen,Caddy,2009,155000,Minivan,Asphalt,1900,Diesel,Mechanical,0.0,2900
12990,Opel,Zafira,1999,19000,Minivan,Gray,1796,Gas / petrol,Mechanical,1.0,3800
12991,Audi,A4,1996,0,Sedan,Gray,1900,Diesel,Mechanical,1.0,5500
12992,Hyundai,Getz,2008,220000,Hatchback,Gray,1400,Gas / petrol,Mechanical,1.0,5400
12993,Mitsubishi,Grandis,2006,201518,Minivan,Silver,2000,Diesel,Mechanical,1.0,7600
