id,mark,model,year,mileage,body_type,color,engine_vol,fuel,gearbox,cleared,price
97,Volvo,XC60,2010,179000,SUV / Crossover,Black,2000,Diesel,Automatic,1.0,20200
98,Audi,A4,1998,0,Sedan,Green,2500,Diesel,Mechanical,0.0,1200
99,Skoda,Octavia,2003,200,Sedan,Green,16,Petrol,Mechanical,1.0,4900
100,Kia,Optima,2014,62000,Sedan,White,2400,Petrol,Automatic,1.0,14100
101,,S2,2018,1,SUV / Crossover,Asphalt,1600,Gas / petrol,Automatic,1.0,12269
102,Renault,Другая,2018,1,SUV / Crossover,Cherry,1600,Gas / petrol,Automatic,1.0,18807
103,Chery,Tiggo,2018,1,SUV / Crossover,White,1600,Gas / petrol,Mechanical,1.0,11615
104,,R2,2017,26000,Hatchback,Green,1250,Petrol,Automatic,1.0,8600
105,VAZ,2109,2003,195000,Sedan,Blue,1500,Petrol,Mechanical,1.0,1999
106,Seat,Ibiza,2008,109124,Hatchback,Yellow,2000,Petrol,Mechanical,1.0,5500
107,Ford,Focus,2004,200000,Universal,Blue,1750,Diesel,Mechanical,1.0,4600
108,Mercedes-Benz,S серия,2001,20000,Sedan,Black,320,Petrol,Tiptronic,1.0,7000
109,Volkswagen,Passat CC,2001,168,Universal,Gray,1,Diesel,Automatic,1.0,5500
110,Mercedes-Benz,220,2002,222470,Sedan,Silver,2200,Diesel,Automatic,1.0,6300
111,Volkswagen,Caddy,2009,300000,Universal,Gray,1900,Diesel,Mechanical,1.0,9500
112,Mercedes-Benz,Sprinter,2001,0,Passenger van (up to 1.5 tons),Yellow,2200,Diesel,Automatic,0.0,3600
113,Volkswagen,Caddy,2013,120500,Minivan,Asphalt,1800,Diesel,Mechanical,1.0,2615
114,Renault,Megane,2008,121,Hatchback,Red,1600,Gas / petrol,Mechanical,1.0,7000
115,Chery,Tiggo,2018,1,SUV / Crossover,Asphalt,1800,Gas / petrol,Automatic,1.0,16576
116,GAZ,3302 Газель,1998,1111,Passenger van (up to 1.5 tons),Brown,245,Gas / petrol,Mechanical,1.0,2800
117,Volkswagen,Polo,2005,139000,Hatchback,Black,1400,Petrol,Mechanical,1.0,6799
118,Kia,Soul,2011,121000,Hatchback,Black,1600,Petrol,Mechanical,1.0,8500
